question,answer,precision,dpr_answer,rank,filtered_rank
when did Robert A. Altman marry Lynda?,1984-01-29,day,"""Robert A. Altman"" Emmy award-winning producer. Among the television shows Sophie produced was the high school educational program, """"It's Academic"""", now in its 56th year. Robert is one of 4 children. On January 29, 1984, Robert married former """"Wonder Woman"""" actress Lynda Carter. Together they have two children, James and Jessica Altman. They live in Potomac, Maryland. Altman practiced law for many years in Washington DC as a partner of Clark Clifford, former United States Secretary of Defense, in the law firm of Clifford and Warnke. Altman later opened his own law firm, the Law Offices of Robert Altman, where Clifford was of",2,1
"when did Douglas Stuart, 20th Earl of Moray marry Lady Malvina?",1964-01-27,day,"""Douglas Stuart, 20th Earl of Moray"" Scotland. He married Lady Malvina Dorothea Murray, daughter of Mungo Murray, 7th Earl of Mansfield and Mansfield, and Dorothea Carnegie, on 27 January 1964. They had two children: The Dowager Countess and her daughter Lady Louisa Howitt (née Stuart) are Patronesses of the Royal Caledonian Ball. Douglas Stuart, 20th Earl of Moray Douglas John Moray Stuart, 20th Earl of Moray (13 February 1928 – 23 September 2011) was a British peer, styled Lord Doune until 1974. The son of Archibald Stuart, 19th Earl of Moray, he succeeded to the earldom of Moray on his father's death in 1974. He lost",1,1
when did Marie Pasteur marry Louis?,1849-05-29,day,"""Marie Pasteur"" Marie Pasteur Marie Pasteur, née Laurent (15 January 1826 in Clermont-Ferrand, France – 28 September 1910 in Paris), was the scientific assistant and co-worker of her spouse, the famous French chemist and bacteriologist Louis Pasteur. Marie Pasteur was one of the daughters of the Rector of the Strasbourg Academy. She married in Strasbourg 29 May 1849, aged 23, to Louis Pasteur, aged 26. Marie worked as a secretary and science writer to her spouse and served as his amanuensis. She was his active assistant in his scientific experiments. She worked with him on expanding his first researches, around 1848, on",1,1
when did Marie Pasteur marry Louis?,1849-05-29,day,"""Marie Pasteur"" lived to be adults. Jean Baptiste would be a soldier in the Franco-Prussian War between France and Prussia. Marie Pasteur was buried in the crypt of the Institute Pasteur. Marie Pasteur Marie Pasteur, née Laurent (15 January 1826 in Clermont-Ferrand, France – 28 September 1910 in Paris), was the scientific assistant and co-worker of her spouse, the famous French chemist and bacteriologist Louis Pasteur. Marie Pasteur was one of the daughters of the Rector of the Strasbourg Academy. She married in Strasbourg 29 May 1849, aged 23, to Louis Pasteur, aged 26. Marie worked as a secretary and science writer",2,2
when did Alexander Payne marry Sandra?,2003-01-01,year,"""Alexander Payne"" Canadian actress Sandra Oh on January 1, 2003, after dating her for three years, and directing her in """"Sideways."""" On March 12, 2005, a publicist announced their separation. The divorce was officially finalized on December 22, 2006, although the former couple took more than two years to settle their finances. In 2015, Payne married Maria Kontos, a Greek philologist he met while visiting the Aigio region of Greece where some of his ancestors originated. He became a father for the first time at the age of 56 in 2017. Payne is on the Board of Directors of an Omaha non-profit",1,1
when did Monica marry Shannon?,2010-11-22,day,"""Monica (singer)"" by the RIAA with domestic shipments of 500,000 copies within a single month. With it success, the album and """"Everything to Me"""" were nominated for a Grammy Award for Best R&B Album and Best Female R&B Vocal Performance, presented at the 53rd Grammy Awards in 2011. In March 2010, it was announced that Monica and Hill had split in October 2009, surrounding rumors that he cheated. Monica and NBA player Shannon Brown met in June 2010 when while they shot her music video for her second single """"Love All Over Me."""" On November 22, 2010, Monica married Brown in a",5,1
when did Monica marry Shannon?,2010-11-22,day,"""Monica (singer)"" 8, 2008. The son was named Romelo Montez Hill, named after Monica's younger brother. The pair parted ways in early 2010. In June 2010, Monica met NBA player Shannon Brown when looking for someone to play the love interest in her video for """"Love All Over Me"""". Monica later announced her engagement to Brown via her Twitter account, posting a photo of a rose-cut diamond ring. On November 22, 2010, the couple married in a secret ceremony at their Los Angeles home. The marriage, however, did not become a matter of public record until January 21, 2011, when Brown told",8,2
when did Neneh Cherry marry Cameron?,1990-01-01,year,"""Neneh Cherry"" Cherry and McVey were en route to Japan as fashion models as part of London designer Ray Petri's Buffalo Posse. Cherry proposed, and the two married in 1990. Cherry and McVey had two daughters: Tyson, born in 1989, and Mabel, born in 1996. Cherry and McVey have a collaborative work relationship: McVey produced and co-wrote """"Raw Like Sushi."""" Together they have supported a variety of British acts and they were in the group cirKus together. Via McVey's prior relationship with Vonnie Roudette, Cherry has a stepson, Marlon Roudette, who fronted the British duo Mattafix. The Cherry-McVeys have lived throughout Europe.",5,1
"when did Princess Marie of Schwarzburg-Rudolstadt marry Frederick Francis II, Grand Duke of?",1868-07-04,day,"""Princess Marie of Schwarzburg-Rudolstadt"" Princess Marie of Schwarzburg-Rudolstadt Princess Marie of Schwarzburg-Rudolstadt (; 29 January 1850 – 22 April 1922) was the consort and third wife of Frederick Francis II, Grand Duke of Mecklenburg-Schwerin. She was mother of Prince Hendrik, consort of Queen Wilhelmina of the Netherlands and father of Queen Juliana. Princess Marie of Schwarzburg-Rudolstadt the first child of Prince Adolph of Schwarzburg-Rudolstadt, and his wife, Princess Mathilde of Schönburg-Waldenburg, was born at Raben Steinfeld, Mecklenburg-Schwerin. Her paternal great-grandfathers were Frederick Charles, Prince of Schwarzburg-Rudolstadt and Frederick V, Landgrave of Hesse-Homburg. Her family belonged to the Principality of Schwarzburg-Rudolstadt On 4 July 1868",2,1
when did George Fox-Pitt-Rivers marry Rosalind?,1931-10-14,day,"""George Pitt-Rivers"" a large proportion of the artefacts held in the Pitt-Rivers Museum at Farnham that she also inherited from George. The Pitt-Rivers Museum in Oxford has been trying ever since to recover those items – which were uncatalogued. George Henry Lane-Fox Pitt-Rivers was twice married; firstly to the Hon. Rachel Forster (daughter of the 1st Baron Forster) on 22 December 1915, the marriage was dissolved in 1930. They had two sons: George Pitt-Rivers married secondly, on 14 October 1931, Rosalind Venetia Henley, (4 March 1907 – 14 January 1990), a biochemist, whose parents were the Hon. Anthony Morton Henley (son of",25,1
when did George Frederic Watts marry Ellen?,1864-02-20,day,"""George Frederic Watts"" is a portrait of his young wife, the actress Ellen Terry, who was 30 years his junior – having been introduced by mutual friend Tom Taylor, they married on 20 February 1864, just seven days short of her 17th birthday. When she eloped with another man after less than a year of marriage, Watts was obliged to divorce her. Watts's association with Rossetti and the Aesthetic movement altered during the 1870s, as his work increasingly combined Classical traditions with a deliberately agitated and troubled surface, to suggest the dynamic energies of life and evolution, as well as the tentative and",1,1
when did Coleen Rooney marry Wayne?,2008-01-01,year,"""Coleen Rooney"" secondary school. Wayne's mother, Jeanette, worked as a part-time cleaner at St John Bosco Arts College, the Catholic secondary school Coleen attended. Their wedding took place in Portofino, Italy on 12 June 2008. The couple were paid a reported £2.5 million by Britain's """"OK!"""" magazine for exclusive wedding information and pictures. The couple, dubbed Wayleen, moved into a new £1.3m mansion in Formby. They currently live in Prestbury, Cheshire, in a £4 million Neo-Georgian mega mansion, which has an indoor swimming pool, sweeping staircase, jacuzzi and gold-plated taps. On 2 November 2009, Rooney gave birth to their first child, Kai",2,1
when did Jean Monet marry Blanche Hoschedé?,1897-01-01,year,"""Jean Monet (son of Claude Monet)"" Claude Monet kept the painting, and never exhibited it, throughout his life. He trained to be a chemist in Switzerland. Monet married Blanche Hoschedé in 1897. They lived in Rouen, where Jean worked for his uncle Léon Monet as a chemist, and Beaumont-le-Roger until 1913. The couple visited Giverny on weekends. Jean suffered an illness for a period of time and died on February 10, 1914. He is buried at the Giverny Church Cemetery, Giverny. His wife Blanche, father, and brother Michel are also buried at the cemetery. Paintings by Claude Monet of his son: Jean Monet (son of Claude",23,1
when did Bruce Lee marry Linda Lee?,1964-01-01,year,"""Bruce Lee"" new deal with Golden Harvest. Lee later formed his own company, Concord Production Inc. (協和電影公司), with Chow. For his third film, """"Way of the Dragon"""" (1972), he was given complete control of the film's production as the writer, director, star, and choreographer of the fight scenes. In 1964, at a demonstration in Long Beach, California, Lee had met karate champion Chuck Norris. In """"Way of the Dragon"""" Lee introduced Norris to moviegoers as his opponent in the final death fight at the Colosseum in Rome, today considered one of Lee's most legendary fight scenes and one of the most memorable",11,1
when did Bruce Lee marry Linda Lee?,1964-01-01,year,"""Bruce Lee"" dramatic arts, philosophy, psychology, and various other subjects. Despite what Lee himself and many others have stated, Lee's official major was drama rather than philosophy according to a 1999 article in the university's alumni publication. He soon met his future wife Linda Lee Cadwell, a fellow student studying to become a teacher, whom he married in August 1964. Lee had two children with Linda: Brandon (1965–1993) and Shannon Lee (born 1969). Lee began teaching martial arts in the United States in 1959. He called what he taught Jun Fan Gung Fu (literally Bruce Lee's Kung Fu). It was basically his",31,2
when did Zarina Wahab marry Aditya?,1986-01-01,year,"""Zarina Wahab"" Malayalam movies, most notably movies like """"Adaminte Makan Abu"""". She appeared in """"My Name Is Khan"""" as the mother of Rizwan Khan (Shah Rukh Khan's character). Wahab currently plays older roles in television serials. Wahab met actor Aditya Pancholi on the sets of """"Kalank Ka Tika"""". Pancholi is 6 years her junior. They married in 1986 and have a daughter, Sana and son Sooraj. News of their turbulent marriage, her husband's temper and rumors of infidelity have been in the gossip columns. Wahab's daughter is an actress. Her son, Suraj, was arrested in June, 2013, for aiding and abetting the",3,1
when did Saranya Ponvannan marry Ponvannan?,1995-01-01,year,"""Saranya Ponvannan"" Rajkumar's character in Kannada movie """"The Villian"""" directed by Prem in 2018. Saranya is the daughter of Malayalam film director A. B. Raj who directed over 75 films. She married actor-director Ponvannan in 1995, and the couple have two daughters. Saranya Ponvannan Saranya Ponvannan (born April 1970), also known as Sheela Christina Raj, is a popular South Indian film actress who has predominantly appeared in Tamil, Telugu, Malayalam language films and a few Kannada language films. Saranya made her debut in a lead role in Mani Ratnam's """"Nayakan"""" (1987) and went on to play lead roles from 1987-1996. Following an",1,1
when did Faye Emerson marry Skitch?,1950-01-01,year,"""Faye Emerson"" rim of Grand Canyon, where she was filming """"Hotel Berlin"""". Hughes and Meyer provided the funding and airplanes for the wedding. When Roosevelt went back to Europe, he named his reconnaissance aircraft """"My Faye"""". After some months in Beverly Hills in 1945, the couple resided with Eleanor Roosevelt at Hyde Park, New York. They had no children. The marriage began breaking up by 1947. In December 1948, Faye Emerson slit her wrists and was briefly hospitalized. In January 1950, Faye obtained a divorce in Cuernavaca, Mexico. Next year, she married band leader and conductor Lyle """"Skitch"""" Henderson in the same",1,1
when did Faye Emerson marry Skitch?,1950-01-01,year,"""Faye Emerson"" Faye Emerson Faye Margaret Emerson (July 8, 1917 – March 9, 1983) was an American film actress and television interviewer known as """"The First Lady of Television."""" Beginning in 1941, she acted in many Warner Bros. films. In 1944, she played one of her more memorable roles as Zachary Scott's former lover in """"The Mask of Dimitrios"""". From 1944 to 1950, she was the third wife of Colonel Elliott Roosevelt, son of Franklin Delano Roosevelt. For her contributions to the motion picture industry, Emerson received a star on the Hollywood Walk of Fame in 1960. Her star is located at",13,2
when did Pehr Evind Svinhufvud marry Ellen?,1889-01-01,year,"""Pehr Evind Svinhufvud"" enrolled at the Imperial Alexander University of Helsinki. There he gained a Bachelor's degree in 1881, and then completed a Master of Arts degree in 1882; his main subjects being Finnish, Russian and Scandinavian History. After this, he took a Master of Laws degree, graduating in 1886. In 1889, Svinhufvud married Alma (Ellen) Timgren (1869–1953). They had six children, Yngve (1890–1991), Ilmo Gretel (1892–1969), Aino Mary (1893–1980), Eino (1896–1938), Arne (1904–1942), and Veikko (1908–1969). Svinhufvud's career in law followed a regular course: he worked as a lawyer, served at district courts, and served as a deputy judge at the Turku",31,1
when did Prince Sixtus of Parma marry Hedwige de la?,1919-11-12,day,"""Prince Sixtus of Bourbon-Parma"" sharp rebuke for Charles by Wilhelm II. The failed attempt of peace negotiations became known as the """"Sixtus affair"""". Prince Sixtus of Bourbon-Parma married Hedwige de la Rochefoucauld (15 February 1896 – 7 May 1986; daughter of Armand de La Rochefoucauld, Duke de Doudeauville, and his wife, Princess Marie de Ligne) on 12 November 1919. The marriage lacked the authorisation of Sixtus's elder half-brother, Elias, Duke of Parma, and was considered non-dynastic until 1959, at which time Elias's son, Robert Hugo, Duke of Parma, inheriting his father's position as head of the family, recognised the marriages of his uncles Sixtus",42,1
when did Katie Boyle marry Peter?,1979-01-01,year,"""Katie Boyle"" Boyle, heir to the 8th Earl of Shannon; the marriage was dissolved in 1955 but she kept his surname, Boyle. Later that year she married Greville Baylis, a racehorse owner, who died in 1976. In 1979 she married theatre impresario Sir Peter Saunders, who died in 2003. In """"Queen Elizabeth II: A Woman Who Is Not Amused"""" by Nicholas Davies it is alleged that Boyle had a long-standing relationship with Prince Philip in the 1950s. Boyle told Gyles Brandreth: """"It's ludicrous, pure fabrication. When it appears in print, people believe it. You can't take legal action because it fans the",7,1
when did Henriette Marie Meyer marry Mortimer?,1898-06-12,day,"""Henriette Marie Meyer"" Henriette Marie Meyer Henriette Marie Meyer (1872–1963), known as Lady Davis after her husband was knighted in 1917, was a Jewish Canadian philanthropist and the wife of Sir Mortimer Davis. She was born in San Francisco, the daughter of Charles Meyer, a banker and philanthropist. On June 12, 1898, she married wealthy businessman Mortimer B. Davis, and the couple moved to Montreal. In 1901, she bore a son, named Mortimer Davis. A few years later, she adopted her nephew Philip. In 1924, the couple divorced. In the divorce settlement, she received more than a million dollars, allowing her to continue",7,1
when did Henriette Marie Meyer marry Mortimer?,1898-06-12,day,"""Henriette Marie Meyer"" survivors of the Holocaust to Canada. In 1963, she funded the construction of several schools in Israel. Henriette Marie Meyer Henriette Marie Meyer (1872–1963), known as Lady Davis after her husband was knighted in 1917, was a Jewish Canadian philanthropist and the wife of Sir Mortimer Davis. She was born in San Francisco, the daughter of Charles Meyer, a banker and philanthropist. On June 12, 1898, she married wealthy businessman Mortimer B. Davis, and the couple moved to Montreal. In 1901, she bore a son, named Mortimer Davis. A few years later, she adopted her nephew Philip. In 1924, the",34,2
"when did Albert, 8th Prince of Thurn and Taxis marry Archduchess Margarethe Klementine of?",1890-07-15,day,"""Albert, 8th Prince of Thurn and Taxis"" His father died when he was less than two months old, and he was raised by his mother. In 1871 Albert's grandfather Maximilian Karl died, and his older brother Maximilian Maria succeeded as Fürst. Maxmilian died 2 June 1885 and Albert succeeded as Fürst; his mother served as regent until his 21st birthday in 1888. On 8 May 1889 he was named Duke of Wörth and Donaustauf by Luitpold, Prince Regent of Bavaria. On 30 November 1889 he was made a knight of the Austrian Order of the Golden Fleece. On 15 July 1890 in Budapest, Hungary, Albert married Archduchess",3,1
when did Frances Ford Seymour marry George Tuttle?,1931-01-10,day,"""Frances Ford Seymour"" Frances Ford Seymour Frances Ford Seymour (April 4, 1908 – April 14, 1950) was a Canadian-born American socialite, the second wife of actor Henry Fonda, and the mother of actors Jane Fonda and Peter Fonda. Born in Brockville, Ontario, Canada, she was a daughter of Eugene Ford Seymour and Sophie Mildred (née Bower; July 13, 1886 – April 15, 1974). According to daughter Jane Fonda, medical records revealed that Seymour was a victim of recurrent sexual abuse in her childhood. On January 10, 1931, she married George Tuttle Brokaw, a millionaire lawyer and sportsman, whose previous marriage, to Clare Boothe",1,1
"when did Hugh Cholmondeley, 6th Marquess of Cholmondeley marry Lavinia?",1947-06-14,day,"""Hugh Cholmondeley, 6th Marquess of Cholmondeley"" died at Cholmondeley Castle in 1990. Cholmondeley married Lavinia Margaret Leslie (9 September 1921 – 7 November 2015), daughter of Colonel John Leslie, on 14 June 1947. The children of that marriage were: Lavinia, Dowager Marchioness of Cholmondeley lived at Cholmondeley Castle. The family seats are Houghton Hall, Norfolk, and Cholmondeley Castle, which is surrounded by a estate near Malpas, Cheshire. One moiety part of the ancient office of Lord Great Chamberlain is a Cholmondeley inheritance. This hereditary honour came into the Cholmondeley family through the marriage of the first Marquess of Cholmondeley to Lady Georgiana Charlotte Bertie, daughter of",2,1
when did Lester Cuneo marry Francelia?,1920-01-01,year,"""Lester Cuneo"" to film and in the early 1920s set up his own production company making primarily western films. He married actress Francelia Billington in 1920 and had two children. the two made fourteen films together until their divorce in October 1925. Despondent over the breakdown of his marriage and the downhill slide of his film career, Lester Cuneo took his own life with a gunshot to the head in 1925. He was interred in the Forest Lawn Memorial Park Cemetery in Glendale, California. His year of death is printed on his gravemarker as 1926 which contradicts 1925, the year usually given.",3,1
when did Andrew Lloyd Webber marry Madeleine?,1991-02-09,day,"""Andrew Lloyd Webber"" Sarah Brightman on 22 March 1984 in Hampshire. He cast Brightman in the lead role in his musical """"The Phantom of the Opera"""", among other notable roles. They divorced on 3 January 1990. Thirdly, he married Madeleine Gurdon in Westminster on 9 February 1991. They have three children, two sons and one daughter, all of whom were born in Westminster: Lloyd Webber and his third wife Madeleine founded the Watership Down Stud in 1992. In 1996, they expanded their equestrian holdings by purchasing Kiltinan Castle Stud near Fethard in County Tipperary, Ireland. The """"Sunday Times Rich List 2006"""" ranked him",2,1
when did Bethine Clark Church marry Frank?,1947-01-01,year,"""Bethine Clark Church"" intelligence officer in China, Burma, and India during World War II."""" After returning from military service, he returned to Stanford and proposed marriage to Clark; the couple announced their engagement in December 1946. On June 21, 1947, they were married at the Clark family ranch, Robinson Bar Ranch (), located east of Stanley. (The ranch was later owned by singer Carole King.) Frank completed his bachelor's degree in political science at Stanford in 1947 and enrolled at Harvard Law School that September, but was forced to withdraw and transfer to Stanford after being diagnosed with cancer. While he was undergoing",1,1
when did Archduchess Maria Theresa of Austria marry Duke Philipp of?,1865-01-18,day,"""Archduchess Maria Theresa of Austria (1845–1927)"" fulfilled as her father, Archduke Albert, thought she was too young at the time (she was one month away from turning 17) and needed to finish her education. Two weeks after, Luís asked for the hand of Princess Maria Pia of Savoy and, this time, was accepted, even though Maria Pia, born in 1847, was even younger than Maria Theresa. On 18 January 1865 in Vienna she married Duke Philipp of Württemberg, a member of a cadet branch of the Royal House of Württemberg. He was the son of Duke Alexander of Württemberg and of Princess Marie d'Orléans. Archduchess Maria",6,1
"when did Otto von Habsburg marry Regina, Crown Princess of?",1951-05-10,day,"""Otto von Habsburg"" repose in the Church of St. Ulrich near his home in Pöcking, Bavaria, and a massive 13-day period of mourning started in several countries formerly part of Austria-Hungary. Otto's coffin was draped with the Habsburg flag decorated with the imperial–royal coats of arms of Austria and Hungary in addition to the Habsburg family coat of arms. In line with the Habsburg family tradition, Otto von Habsburg was buried in the family's crypt in Vienna, while his heart was buried in a monastery in Pannonhalma, Hungary. He married Princess Regina of Saxe-Meiningen on 10 May 1951 at the Church of Saint-François-des-Cordeliers",3,1
when did Laurence Ferrari marry Renaud?,2009-01-01,year,"""Laurence Ferrari"" Laurence Ferrari has been an ambassador for SOS Children's Villages since November 2003. In March 2007, along with other famous personalities including journalists Claire Chazal, Marie Drucker, Tina Keiffer, Béatrice Schönberg and Mélissa Theuriau, she sponsored the La Rose Marie Claire project with UNICEF to help educate young girls. In October 2007, Laurence Ferrari and Thomas Hugues separated on friendly terms, after 14 years of marriage (since 1993) and two children (a son and a daughter). Partners since 2008, she and the violinist, Renaud Capuçon, married in July 2009 in the 16th arrondissement of Paris and have one son, who",1,1
when did Yukiko Todoroki marry Masahiro?,1940-01-01,year,"""Yukiko Todoroki"" School to join the Takarazuka Revue. Shidare Itoi and Tomiko Hattori also joined the company at the same time. These Japanese beauties became very popular. In 1937, she left Takarazuka and had her debut as Otsu in the Nikkatsu production """"Musashi Miyamoto: Earth Scroll"""". It is said this was revenge by the four existing film companies (Shochiku, Nikkatsu, Shinko Cinema, and Daito Film) against Toho's Kazuo Hasegawa. While shooting """"Edo no Arawashi"""" (1937), she met Nikkatsu director Masahiro Makino. She married him in 1940. The same year, her eldest son, Masayuki Makino, was born. In 1942, due to government intervention,",22,1
